TM1,Score1,vs,TM2,Score2,week
GB,10,-,CHI,3,1
BUF,17,-,NYJ,16,1
BAL,59,-,MIA,10,1
KC,40,-,JAC,26,1
TEN,43,-,CLE,13,1
PHI,32,-,WAS,27,1
MIN,28,-,ATL,12,1
LAR,30,-,CAR,27,1
LAC,30,-,IND,24,1
SEA,21,-,CIN,20,1
DET,27,-,ARI,27,1
DAL,35,-,NYG,17,1
SF,31,-,TB,17,1
NE,33,-,PIT,3,1
NO,30,-,HOU,28,1
LV,24,-,DEN,16,1
TB,20,-,CAR,14,2
DET,13,-,LAC,10,2
HOU,13,-,JAC,12,2
GB,21,-,MIN,16,2
SEA,28,-,PIT,26,2
SF,41,-,CIN,17,2
IND,19,-,TEN,17,2
NE,43,-,MIA,0,2
DAL,31,-,WAS,21,2
BUF,28,-,NYG,14,2
BAL,23,-,ARI,17,2
KC,28,-,LV,10,2
CHI,16,-,DEN,14,2
LAR,27,-,NO,9,2
ATL,24,-,PHI,20,2
CLE,23,-,NYJ,3,2
JAC,20,-,TEN,7,3
GB,27,-,DEN,16,3
BUF,21,-,CIN,17,3
DET,27,-,PHI,24,3
NE,30,-,NYJ,14,3
MIN,34,-,LV,14,3
KC,33,-,BAL,28,3
DAL,31,-,MIA,6,3
IND,27,-,ATL,24,3
CAR,38,-,ARI,20,3
NYG,32,-,TB,31,3
HOU,27,-,LAC,20,3
NO,33,-,SEA,27,3
SF,24,-,PIT,20,3
LAR,20,-,CLE,13,3
CHI,31,-,WAS,15,3
PHI,34,-,GB,27,4
NE,16,-,BUF,10,4
LAC,30,-,MIA,10,4
LV,31,-,IND,24,4
TEN,24,-,ATL,10,4
NYG,24,-,WAS,3,4
KC,34,-,DET,30,4
CLE,40,-,BAL,25,4
CAR,16,-,HOU,10,4
TB,55,-,LAR,40,4
SEA,27,-,ARI,10,4
JAC,26,-,DEN,24,4
CHI,16,-,MIN,6,4
NO,12,-,DAL,10,4
PIT,27,-,CIN,3,4
SEA,30,-,LAR,29,5
MIN,28,-,NYG,10,5
CAR,34,-,JAC,27,5
NE,33,-,WAS,7,5
PHI,31,-,NYJ,6,5
NO,31,-,TB,24,5
LV,24,-,CHI,21,5
BUF,14,-,TEN,7,5
HOU,53,-,ATL,32,5
ARI,26,-,CIN,23,5
BAL,26,-,PIT,23,5
DEN,20,-,LAC,13,5
GB,34,-,DAL,24,5
IND,19,-,KC,13,5
SF,31,-,CLE,3,5
NE,35,-,NYG,14,6
CAR,37,-,TB,26,6
NO,13,-,JAC,6,6
MIN,38,-,PHI,20,6
WAS,17,-,MIA,16,6
HOU,31,-,KC,24,6
SEA,32,-,CLE,28,6
BAL,23,-,CIN,17,6
SF,20,-,LAR,7,6
ARI,34,-,ATL,33,6
NYJ,24,-,DAL,22,6
DEN,16,-,TEN,0,6
PIT,24,-,LAC,17,6
GB,23,-,DET,22,6
KC,30,-,DEN,6,7
BUF,31,-,MIA,21,7
LAR,37,-,ATL,10,7
MIN,42,-,DET,30,7
GB,42,-,LV,24,7
SF,9,-,WAS,0,7
JAC,27,-,CIN,17,7
IND,30,-,HOU,23,7
ARI,27,-,NYG,21,7
TEN,23,-,LAC,20,7
BAL,30,-,SEA,16,7
NO,36,-,CHI,25,7
DAL,37,-,PHI,10,7
NE,33,-,NYJ,0,7
MIN,19,-,WAS,9,8
JAC,29,-,NYJ,15,8
DET,31,-,NYG,26,8
PHI,31,-,BUF,13,8
SEA,27,-,ATL,20,8
TEN,27,-,TB,23,8
LAC,17,-,CHI,16,8
IND,15,-,DEN,13,8
LAR,24,-,CIN,10,8
NO,31,-,ARI,9,8
SF,51,-,CAR,13,8
NE,27,-,CLE,13,8
HOU,27,-,LV,24,8
GB,31,-,KC,24,8
PIT,27,-,MIA,14,8
SF,28,-,ARI,25,9
HOU,26,-,JAC,3,9
KC,26,-,MIN,23,9
MIA,26,-,NYJ,18,9
BUF,24,-,WAS,9,9
PIT,26,-,IND,24,9
CAR,30,-,TEN,20,9
PHI,22,-,CHI,14,9
SEA,40,-,TB,34,9
LV,31,-,DET,24,9
DEN,24,-,CLE,19,9
LAC,26,-,GB,11,9
BAL,37,-,NE,20,9
DAL,37,-,NYG,18,9
LV,26,-,LAC,24,10
CLE,19,-,BUF,16,10
CHI,20,-,DET,13,10
NYJ,34,-,NYG,27,10
BAL,49,-,CIN,13,10
TEN,35,-,KC,32,10
ATL,26,-,NO,9,10
TB,30,-,ARI,27,10
MIA,16,-,IND,12,10
GB,24,-,CAR,16,10
PIT,17,-,LAR,12,10
MIN,28,-,DAL,24,10
SEA,27,-,SF,24,10
CLE,21,-,PIT,7,11
BAL,41,-,HOU,7,11
MIN,27,-,DEN,23,11
IND,33,-,JAC,13,11
NO,34,-,TB,17,11
NYJ,34,-,WAS,17,11
DAL,35,-,DET,27,11
BUF,37,-,MIA,20,11
ATL,29,-,CAR,3,11
SF,36,-,ARI,26,11
LV,17,-,CIN,10,11
NE,17,-,PHI,10,11
LAR,17,-,CHI,7,11
KC,24,-,LAC,17,11
