home_team,week
Chicago,1
N.Y. Jets,1
Miami,1
Jacksonville,1
Cleveland,1
Philadelphia,1
Minnesota,1
Carolina,1
L.A. Chargers,1
Seattle,1
Arizona,1
Dallas,1
Tampa Bay,1
New England,1
New Orleans,1
Las Vegas,1
Carolina,2
Detroit,2
Houston,2
Green Bay,2
Pittsburgh,2
Cincinnati,2
Tennessee,2
Miami,2
Washington,2
N.Y. Giants,2
Baltimore,2
Las Vegas,2
Denver,2
L.A. Rams,2
Atlanta,2
N.Y. Jets,2
Jacksonville,3
Green Bay,3
Buffalo,3
Philadelphia,3
New England,3
Minnesota,3
Kansas City,3
Dallas,3
Indianapolis,3
Arizona,3
Tampa Bay,3
L.A. Chargers,3
Seattle,3
San Francisco,3
Cleveland,3
Washington,3
Green Bay,4
Buffalo,4
Miami,4
Indianapolis,4
Atlanta,4
N.Y. Giants,4
Detroit,4
Baltimore,4
Houston,4
L.A. Rams,4
Arizona,4
Denver,4
Chicago,4
New Orleans,4
Pittsburgh,4
Seattle,5
N.Y. Giants,5
Carolina,5
Washington,5
Philadelphia,5
New Orleans,5
Las Vegas,5
Tennessee,5
Houston,5
Cincinnati,5
Pittsburgh,5
L.A. Chargers,5
Dallas,5
Kansas City,5
San Francisco,5
New England,6
Tampa Bay,6
Jacksonville,6
Minnesota,6
Miami,6
Kansas City,6
Cleveland,6
Baltimore,6
L.A. Rams,6
Arizona,6
N.Y. Jets,6
Denver,6
L.A. Chargers,6
Green Bay,6
Denver,7
Buffalo,7
Atlanta,7
Detroit,7
Green Bay,7
Washington,7
Cincinnati,7
Indianapolis,7
N.Y. Giants,7
Tennessee,7
Seattle,7
Chicago,7
Dallas,7
N.Y. Jets,7
Minnesota,8
Jacksonville,8
Detroit,8
Buffalo,8
Atlanta,8
Tennessee,8
Chicago,8
Indianapolis,8
L.A. Rams,8
New Orleans,8
San Francisco,8
New England,8
Houston,8
Kansas City,8
Pittsburgh,8
Arizona,9
Jacksonville,9
Kansas City,9
Miami,9
Buffalo,9
Pittsburgh,9
Carolina,9
Philadelphia,9
Seattle,9
Las Vegas,9
Denver,9
L.A. Chargers,9
Baltimore,9
N.Y. Giants,9
Las Vegas,10
Cleveland,10
Chicago,10
N.Y. Jets,10
Cincinnati,10
Tennessee,10
New Orleans,10
Tampa Bay,10
Indianapolis,10
Green Bay,10
Pittsburgh,10
Dallas,10
San Francisco,10
Cleveland,11
Baltimore,11
Minnesota,11
Indianapolis,11
Tampa Bay,11
Washington,11
Detroit,11
Miami,11
Carolina,11
San Francisco,11
Las Vegas,11
Philadelphia,11
L.A. Rams,11
L.A. Chargers,11
