TM1,Score1,vs,TM2,Score2,week
KC,34,-,HOU,20,1
LV,34,-,CAR,30,1
JAC,27,-,IND,20,1
NE,21,-,MIA,11,1
WAS,27,-,PHI,17,1
SEA,38,-,ATL,25,1
GB,43,-,MIN,34,1
BUF,27,-,NYJ,17,1
BAL,38,-,CLE,6,1
CHI,27,-,DET,23,1
LAC,16,-,CIN,13,1
ARI,24,-,SF,20,1
NO,34,-,TB,23,1
LAR,20,-,DAL,17,1
PIT,26,-,NYG,16,1
TEN,16,-,DEN,14,1
CLE,35,-,CIN,30,2
TEN,33,-,JAC,30,2
GB,42,-,DET,21,2
LAR,37,-,PHI,19,2
CHI,17,-,NYG,13,2
SF,31,-,NYJ,13,2
PIT,26,-,DEN,21,2
IND,28,-,MIN,11,2
TB,31,-,CAR,17,2
BUF,31,-,MIA,28,2
DAL,40,-,ATL,39,2
ARI,30,-,WAS,15,2
BAL,33,-,HOU,16,2
KC,23,-,LAC,20,2
SEA,35,-,NE,30,2
LV,34,-,NO,24,2
MIA,31,-,JAC,13,3
BUF,35,-,LAR,32,3
PIT,28,-,HOU,21,3
NE,36,-,LV,20,3
TEN,31,-,MIN,30,3
CLE,34,-,WAS,20,3
CIN,23,-,PHI,23,3
SF,36,-,NYG,9,3
CHI,30,-,ATL,26,3
CAR,21,-,LAC,16,3
IND,36,-,NYJ,7,3
SEA,38,-,DAL,31,3
DET,26,-,ARI,23,3
TB,28,-,DEN,10,3
GB,37,-,NO,30,3
KC,34,-,BAL,20,3
